table_type,table_name
dimension,dim_date
dimension,dim_time
dimension,dim_country
dimension,dim_region
dimension,dim_province
dimension,dim_city
dimension,dim_currency
dimension,dim_business_unit
dimension,dim_legal_entity
dimension,dim_site
dimension,dim_site_type
dimension,dim_terminal
dimension,dim_depot
dimension,dim_warehouse
dimension,dim_product
dimension,dim_product_category
dimension,dim_product_brand
dimension,dim_unit_of_measure
dimension,dim_customer
dimension,dim_customer_segment
dimension,dim_customer_sector
dimension,dim_supplier
dimension,dim_supplier_type
dimension,dim_contract
dimension,dim_contract_type
dimension,dim_channel
dimension,dim_payment_method
dimension,dim_promotion
dimension,dim_price_zone
dimension,dim_tax
dimension,dim_cost_centre
dimension,dim_profit_centre
dimension,dim_gl_account
dimension,dim_employee
dimension,dim_role
dimension,dim_vehicle
dimension,dim_driver
dimension,dim_carrier
dimension,dim_route
dimension,dim_asset
dimension,dim_asset_type
dimension,dim_equipment
dimension,dim_tank
dimension,dim_pump
dimension,dim_incident_type
dimension,dim_incident_severity
dimension,dim_maintenance_type
dimension,dim_failure_mode
dimension,dim_loyalty_member
dimension,dim_digital_user
dimension,dim_device
dimension,dim_campaign
dimension,dim_weather
dimension,dim_energy_source
dimension,dim_ev_charger
dimension,dim_solar_asset
dimension,dim_airport
dimension,dim_airline
dimension,dim_port
dimension,dim_vessel
dimension,dim_lpg_cylinder_type
dimension,dim_delivery_status
dimension,dim_order_status
dimension,dim_shift
dimension,dim_forecourt_lane
dimension,dim_reason_code
dimension,dim_data_source
dimension,dim_scenario
dimension,dim_budget_version
dimension,dim_forecast_version
fact,fact_retail_fuel_sales
fact,fact_retail_fuel_payments
fact,fact_shop_sales
fact,fact_shop_returns
fact,fact_forecourt_shift
fact,fact_pump_meter_readings
fact,fact_tank_dips
fact,fact_price_changes
fact,fact_promotions
fact,fact_site_daily_operations
fact,fact_commercial_orders
fact,fact_commercial_order_lines
fact,fact_commercial_deliveries
fact,fact_contract_volume_commitments
fact,fact_contract_pricing
fact,fact_customer_invoices
fact,fact_customer_receipts
fact,fact_customer_credit_exposure
fact,fact_customer_service_cases
fact,fact_procurement_orders
fact,fact_procurement_receipts
fact,fact_import_cargoes
fact,fact_terminal_receipts
fact,fact_terminal_issues
fact,fact_terminal_throughput
fact,fact_inventory_snapshot
fact,fact_inventory_movements
fact,fact_inventory_adjustments
fact,fact_stock_losses
fact,fact_replenishment_orders
fact,fact_deliveries
fact,fact_delivery_events
fact,fact_vehicle_trips
fact,fact_route_performance
fact,fact_fleet_costs
fact,fact_lpg_sales
fact,fact_lpg_cylinder_movements
fact,fact_lpg_bulk_deliveries
fact,fact_lpg_inventory_snapshot
fact,fact_lubricant_sales
fact,fact_lubricant_orders
fact,fact_lubricant_inventory_snapshot
fact,fact_aviation_sales
fact,fact_aircraft_uplifts
fact,fact_aviation_inventory_snapshot
fact,fact_marine_sales
fact,fact_bunker_deliveries
fact,fact_marine_inventory_snapshot
fact,fact_loyalty_transactions
fact,fact_loyalty_points_balance
fact,fact_digital_events
fact,fact_mobile_payments
fact,fact_digital_sessions
fact,fact_campaign_responses
fact,fact_ev_charging_sessions
fact,fact_ev_charger_status
fact,fact_solar_generation
fact,fact_site_energy_consumption
fact,fact_grid_import_export
fact,fact_energy_costs
fact,fact_maintenance_work_orders
fact,fact_asset_downtime
fact,fact_asset_inspections
fact,fact_asset_failures
fact,fact_spare_parts_usage
fact,fact_asset_meter_readings
fact,fact_hsseq_incidents
fact,fact_near_misses
fact,fact_environmental_events
fact,fact_safety_observations
fact,fact_training_compliance
fact,fact_permit_to_work
fact,fact_vehicle_safety_events
fact,fact_finance_revenue_cost
fact,fact_general_ledger
fact,fact_accounts_receivable
fact,fact_accounts_payable
fact,fact_capex
fact,fact_opex
fact,fact_budget
fact,fact_forecast
fact,fact_budget_vs_actual
fact,fact_cashflow
fact,fact_working_capital
fact,fact_daily_executive_kpi
bridge,bridge_site_product
bridge,bridge_customer_contract
bridge,bridge_customer_site
bridge,bridge_site_promotion
bridge,bridge_employee_site
bridge,bridge_asset_site
bridge,bridge_supplier_product
bridge,bridge_route_site
bridge,bridge_customer_hierarchy
bridge,bridge_product_hierarchy
bridge,bridge_site_hierarchy
bridge,bridge_security_user_scope
