province,city,public_legacy_location_seed
Gauteng,Alberton,Alrode
Gauteng,Johannesburg,Langlaagte
Gauteng,Pretoria,Waltloo
KwaZulu-Natal,Durban,Wentworth
KwaZulu-Natal,Ladysmith,Ladysmith
Western Cape,Cape Town,Montague Gardens
Western Cape,Mossel Bay,Mossel Bay
Free State,Bethlehem,Bethlehem
Free State,Bloemfontein,Bloemfontein
Free State,Kroonstad,Kroonstad
Eastern Cape,East London,East London
Eastern Cape,Gqeberha,Gqeberha Inland
Eastern Cape,Gqeberha,Gqeberha Ocean
North West,Klerksdorp,Klerksdorp
North West,Rustenburg,Rustenburg
North West,Vryburg,Vryburg
Limpopo,Hoedspruit,Hoedspruit
Limpopo,Makhado,Makhado
Limpopo,Mokopane,Mokopane
Northern Cape,Kimberley,Kimberley
Northern Cape,Upington,Upington
Mpumalanga,Mbombela,Mbombela/Nelspruit
Mpumalanga,Secunda,Secunda
Mpumalanga,eMalahleni,eMalahleni
